Accession,Description,Norm Avg Ratio
O43865,Putative adenosylhomocysteinase 2,1.008426934
Q9UHX1,Poly(U)-binding-splicing factor PUF60,1.008342406
Q06124,Tyrosine-protein phosphatase non-receptor type 11,1.008264822
P46063,ATP-dependent DNA helicase Q1,1.008217025
Q14694,Ubiquitin carboxyl-terminal hydrolase 10,1.008136771
P23921,Ribonucleoside-diphosphate reductase large subunit,1.007798047
P15531,Nucleoside diphosphate kinase A,1.007707133
O43681,ATPase ASNA1,1.007690913
P10599,Thioredoxin,1.007628493
Q01130,Serine/arginine-rich splicing factor 2,1.007548239
Q53H82,Beta-lactamase-like protein 2,1.007515284
P11766,Alcohol dehydrogenase class-3,1.007494734
P27694,Replication protein A 70 kDa DNA-binding subunit,1.007236139
Q12769,Nuclear pore complex protein Nup160,1.0069998
P12236,ADP/ATP translocase 3,1.006756446
P51610,Host cell factor 1,1.006611939
P49792,E3 SUMO-protein ligase RanBP2,1.006540602
P05783,"Keratin, type I cytoskeletal 18",1.006512874
P32969,60S ribosomal protein L9,1.006433134
Q8NHG7,Small VCP/p97-interacting protein,1.006292865
P53634,Dipeptidyl peptidase 1,1.006255253
Q14764,Major vault protein,1.006025226
P58546,Myotrophin,1.005893717
A0AVT1,Ubiquitin-like modifier-activating enzyme 6,1.00588965
Q9BU89,Deoxyhypusine hydroxylase,1.005869065
Q99714,3-hydroxyacyl-CoA dehydrogenase type-2,1.005773727
P05388,60S acidic ribosomal protein P0,1.00575468
P62826,GTP-binding nuclear protein Ran,1.005541881
Q9H4A6,Golgi phosphoprotein 3,1.005483608
P27797,Calreticulin,1.005023819
Q9Y6B6,GTP-binding protein SAR1b,1.004882013
Q92619,Minor histocompatibility protein HA-1,1.004828578
Q9Y4E8,Ubiquitin carboxyl-terminal hydrolase 15,1.004734965
O15260,Surfeit locus protein 4,1.004605797
Q29RF7,Sister chromatid cohesion protein PDS5 homolog A,1.004034884
P62753,40S ribosomal protein S6,1.004017521
P30566,Adenylosuccinate lyase,1.003744983
Q99460,26S proteasome non-ATPase regulatory subunit 1,1.003731701
O15160,DNA-directed RNA polymerases I and III subunit RPAC1,1.003633612
Q13011,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",1.003589717
Q9UBE0,SUMO-activating enzyme subunit 1,1.003528071
P23526,Adenosylhomocysteinase,1.003440618
Q9NY61,Protein AATF,1.003428518
P61981,14-3-3 protein gamma,1.003330429
P06748,Nucleophosmin,1.003045081
P61758,Prefoldin subunit 3,1.003045081
P60900,Proteasome subunit alpha type-6,1.002851967
O60716,Catenin delta-1,1.002741898
Q9BW27,Nuclear pore complex protein Nup85,1.002634892
O60231,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,1.002593569
P52209,"6-phosphogluconate dehydrogenase, decarboxylating",1.002580785
P52788,Spermine synthase,1.002287123
P56192,"Methionyl-tRNA synthetase, cytoplasmic",1.002073112
P07339,Cathepsin D,1.002073112
Q9NYF8,Bcl-2-associated transcription factor 1,1.002046074
Q9H4A4,Aminopeptidase B,1.002028031
P62191,26S protease regulatory subunit 4,1.002001775
P50579,Methionine aminopeptidase 2,1.001894769
O43719,HIV Tat-specific factor 1,1.001848212
Q14739,Lamin-B receptor,1.001636172
Q86Y56,HEAT repeat-containing protein 2,1.001566521
O95163,Elongator complex protein 1,1.001439995
Q00796,Sorbitol dehydrogenase,1.001405592
Q9ULV4,Coronin-1C,1.001269101
Q9H7Z7,Prostaglandin E synthase 2,1.001049198
Q9NR30,Nucleolar RNA helicase 2,1.001003054
P18583,Protein SON,1.000958469
P31939,Bifunctional purine biosynthesis protein PURH,1.00073554
Q53GQ0,Estradiol 17-beta-dehydrogenase 12,1.000704227
Q13561,Dynactin subunit 2,1.000637451
Q13045,Protein flightless-1 homolog,1.00054828
Q9HAV7,"GrpE protein homolog 1, mitochondrial",1.00023618
O75340,Programmed cell death protein 6,1.000157149
Q9BXW7,Cat eye syndrome critical region protein 5,1.000075671
P50454,Serpin H1,1.000004583
P27635,60S ribosomal protein L10,0.999995417
O75608,Acyl-protein thioesterase 1,0.999915163
O94906,Pre-mRNA-processing factor 6,0.99986166
Q92538,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,0.999804772
O00186,Syntaxin-binding protein 3,0.999733598
Q16555,Dihydropyrimidinase-related protein 2,0.999704477
P52306,Rap1 GTPase-GDP dissociation stimulator 1,0.999647648
Q9Y262,Eukaryotic translation initiation factor 3 subunit L,0.999576311
P11021,78 kDa glucose-regulated protein,0.999571682
P15374,Ubiquitin carboxyl-terminal hydrolase isozyme L3,0.999561568
P45880,Voltage-dependent anion-selective channel protein 2,0.999515988
P05387,60S acidic ribosomal protein P2,0.999246114
P17655,Calpain-2 catalytic subunit,0.99905143
P62888,60S ribosomal protein L30,0.998969074
Q13601,KRR1 small subunit processome component homolog,0.998854022
O15143,Actin-related protein 2/3 complex subunit 1B,0.998229822
Q13618,Cullin-3,0.998185237
Q14203,Dynactin subunit 1,0.998134364
O75607,Nucleoplasmin-3,0.998033645
Q13228,Selenium-binding protein 1,0.998006891
P06733,Alpha-enolase,0.997963336
P62333,26S protease regulatory subunit 10B,0.997824042
O95757,Heat shock 70 kDa protein 4L,0.997812715
O00299,Chloride intracellular channel protein 1,0.99772564
P62750,60S ribosomal protein L23a,0.997614539
O00232,26S proteasome non-ATPase regulatory subunit 12,0.997507534
Q9Y606,"tRNA pseudouridine synthase A, mitochondrial",0.997471865
Q9Y5B9,FACT complex subunit SPT16,0.996919002
Q9NVP1,ATP-dependent RNA helicase DDX18,0.99689225
Q9BVP2,Guanine nucleotide-binding protein-like 3,0.9966654
P07195,L-lactate dehydrogenase B chain,0.996577709
P28838,Cytosol aminopeptidase,0.996421701
P08581,Hepatocyte growth factor receptor,0.996278291
P25786,Proteasome subunit alpha type-1,0.996241299
P31947,14-3-3 protein sigma,0.995942322
O15479,Melanoma-associated antigen B2,0.995911365
P61158,Actin-related protein 3,0.995866779
P55084,"Trifunctional enzyme subunit beta, mitochondrial",0.995844751
P26038,Moesin,0.995767655
P28066,Proteasome subunit alpha type-5,0.995756474
Q9NX24,H/ACA ribonucleoprotein complex subunit 2,0.995660729
O60488,Long-chain-fatty-acid--CoA ligase 4,0.995592897
Q14204,Cytoplasmic dynein 1 heavy chain 1,0.99551901
Q9BUP3,Oxidoreductase HTATIP2,0.995465507
P18887,DNA repair protein XRCC1,0.994998116
P08237,"6-phosphofructokinase, muscle type",0.994948313
Q96QK1,Vacuolar protein sorting-associated protein 35,0.994898843
P19338,Nucleolin,0.994885383
O95456,Proteasome assembly chaperone 1,0.994845717
P04792,Heat shock protein beta-1,0.994746272
P12270,Nucleoprotein TPR,0.994328835
O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",0.994324113
Q8NI36,WD repeat-containing protein 36,0.994247927
A5YKK6,CCR4-NOT transcription complex subunit 1,0.993940234
P42695,Condensin-2 complex subunit D3,0.993826487
O60678,Protein arginine N-methyltransferase 3,0.993798001
Q15056,Eukaryotic translation initiation factor 4H,0.99370883
Q15785,Mitochondrial import receptor subunit TOM34,0.99364641
Q96K17,Transcription factor BTF3 homolog 4,0.993619658
Q96AE4,Far upstream element-binding protein 1,0.993592907
P17844,Probable ATP-dependent RNA helicase DDX5,0.993553903
Q9NPJ3,Acyl-coenzyme A thioesterase 13,0.993475159
Q04837,"Single-stranded DNA-binding protein, mitochondrial",0.993468067
O00231,26S proteasome non-ATPase regulatory subunit 11,0.992819914
Q8N1G4,Leucine-rich repeat-containing protein 47,0.992803754
P05787,"Keratin, type II cytoskeletal 8",0.992791694
Q9BRA2,Thioredoxin domain-containing protein 17,0.992707643
Q8N1F7,Nuclear pore complex protein Nup93,0.992694554
Q9GZL7,Ribosome biogenesis protein WDR12,0.992665524
Q9UBQ7,Glyoxylate reductase/hydroxypyruvate reductase,0.992644608
P21266,Glutathione S-transferase Mu 3,0.992440555
Q6NXE6,Armadillo repeat-containing protein 6,0.992406926
Q92879,CUGBP Elav-like family member 1,0.992121578
P48735,"Isocitrate dehydrogenase [NADP], mitochondrial",0.992026032
Q8NEJ9,Neuroguidin,0.991920176
P13929,Beta-enolase,0.991794528
Q15459,Splicing factor 3A subunit 1,0.991791643
Q9H307,Pinin,0.991559798
P42356,Phosphatidylinositol 4-kinase alpha,0.991497378
P48444,Coatomer subunit delta,0.991403592
Q9Y490,Talin-1,0.991250734
Q9GZZ1,"N-alpha-acetyltransferase 50, NatE catalytic subunit",0.99123878
Q16718,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,0.991185278
Q8WUH6,UPF0444 transmembrane protein C12orf23,0.991093933
Q14152,Eukaryotic translation initiation factor 3 subunit A,0.990908846
Q16531,DNA damage-binding protein 1,0.990882095
P55039,Developmentally-regulated GTP-binding protein 2,0.990845614
P55010,Eukaryotic translation initiation factor 5,0.990748337
Q8WUX1,Sodium-coupled neutral amino acid transporter 5,0.990621529
P43243,Matrin-3,0.990609984
P35237,Serpin B6,0.990489727
P48047,"ATP synthase subunit O, mitochondrial",0.990458211
Q9P2E9,Ribosome-binding protein 1,0.990323108
P04075,Fructose-bisphosphate aldolase A,0.990070634
Q14566,DNA replication licensing factor MCM6,0.989999297
Q13206,Probable ATP-dependent RNA helicase DDX10,0.989837577
Q14244,Ensconsin,0.989619554
P52701,DNA mismatch repair protein Msh6,0.989561616
Q08AM6,Protein VAC14 homolog,0.989547278
P49419,Alpha-aminoadipic semialdehyde dehydrogenase,0.989384014
P26599,Polypyrimidine tract-binding protein 1,0.989285926
P30626,Sorcin,0.989231627
P61011,Signal recognition particle 54 kDa protein,0.989131533
Q92973,Transportin-1,0.988982743
P08243,Asparagine synthetase [glutamine-hydrolyzing],0.988777365
P62834,Ras-related protein Rap-1A,0.988755741
P39748,Flap endonuclease 1,0.988650093
Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,0.988420963
Q13509,Tubulin beta-3 chain,0.988382881
Q13405,"39S ribosomal protein L49, mitochondrial",0.988306155
O00151,PDZ and LIM domain protein 1,0.98811778
P60174,Triosephosphate isomerase,0.987832431
Q06323,Proteasome activator complex subunit 1,0.987817782
P46379,Large proline-rich protein BAG6,0.987743259
Q9P2J5,"Leucyl-tRNA synthetase, cytoplasmic",0.987542301
Q96RS6,NudC domain-containing protein 1,0.987484662
P09960,Leukotriene A-4 hydrolase,0.987211917
Q9Y6M7,Sodium bicarbonate cotransporter 3,0.987127976
O75436,Vacuolar protein sorting-associated protein 26A,0.987092308
P51452,Dual specificity protein phosphatase 3,0.986922882
P32942,Intercellular adhesion molecule 3,0.986740265
P53384,Cytosolic Fe-S cluster assembly factor NUBP1,0.986694953
O15144,Actin-related protein 2/3 complex subunit 2,0.986666395
P35249,Replication factor C subunit 4,0.986664285
P07355,Annexin A2,0.986619699
P46060,Ran GTPase-activating protein 1,0.986601865
Q9NQR4,Omega-amidase NIT2,0.986586787
Q9UG63,ATP-binding cassette sub-family F member 2,0.986566226
Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",0.986539445
P38117,Electron transfer flavoprotein subunit beta,0.986432439
Q6P2Q9,Pre-mRNA-processing-splicing factor 8,0.986320994
Q14527,Helicase-like transcription factor,0.986120339
P82979,SAP domain-containing ribonucleoprotein,0.986083067
Q9ULT8,E3 ubiquitin-protein ligase HECTD1,0.985973633
P49589,"Cysteinyl-tRNA synthetase, cytoplasmic",0.985826073
Q13895,Bystin,0.985790405
P62277,40S ribosomal protein S13,0.98571015
O00267,Transcription elongation factor SPT5,0.985620979
Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B,0.985571669
P18124,60S ribosomal protein L7,0.985371299
Q9BRX8,UPF0765 protein C10orf58,0.985284057
P51991,Heterogeneous nuclear ribonucleoprotein A3,0.985094867
Q14157,Ubiquitin-associated protein 2-like,0.984889592
Q92597,Protein NDRG1,0.984630915
P37198,Nuclear pore glycoprotein p62,0.984604424
Q04917,14-3-3 protein eta,0.984559839
P09874,Poly [ADP-ribose] polymerase 1,0.984491181
P08865,40S ribosomal protein SA,0.984417164
O15042,U2 snRNP-associated SURP motif-containing protein,0.984353263
Q5VYK3,Proteasome-associated protein ECM29 homolog,0.984140696
P31943,Heterogeneous nuclear ribonucleoprotein H,0.984105006
O15226,NF-kappa-B-repressing factor,0.984095693
O00273,DNA fragmentation factor subunit alpha,0.983993161
Q9UI30,tRNA methyltransferase 112 homolog,0.983971307
Q7L1Q6,Basic leucine zipper and W2 domain-containing protein 1,0.983926721
Q14697,Neutral alpha-glucosidase AB,0.983908887
Q9H2M9,Rab3 GTPase-activating protein non-catalytic subunit,0.983853832
P55060,Exportin-2,0.983763731
O00410,Importin-5,0.983733083
P35998,26S protease regulatory subunit 7,0.983703793
O15067,Phosphoribosylformylglycinamidine synthase,0.983516533
Q9HAV0,Guanine nucleotide-binding protein subunit beta-4,0.983356024
Q14019,Coactosin-like protein,0.983276139
P30740,Leukocyte elastase inhibitor,0.983231184
P25398,40S ribosomal protein S12,0.983195101
P31946,14-3-3 protein beta/alpha,0.983110893
Q9Y5U9,Immediate early response 3-interacting protein 1,0.983029031
Q16643,Drebrin,0.982978634
Q9UQE7,Structural maintenance of chromosomes protein 3,0.982731824
Q92616,Translational activator GCN1,0.982731824
Q15642,Cdc42-interacting protein 4,0.982652962
P14625,Endoplasmin,0.982633735
P00491,Purine nucleoside phosphorylase,0.982446475
Q92499,ATP-dependent RNA helicase DDX1,0.982397667
P13674,Prolyl 4-hydroxylase subunit alpha-1,0.982339469
Q13838,Spliceosome RNA helicase DDX39B,0.982321635
P22102,Trifunctional purine biosynthetic protein adenosine-3,0.982310209
Q9BXW6,Oxysterol-binding protein-related protein 1,0.982161127
Q15046,Lysyl-tRNA synthetase,0.982116541
P16435,NADPH--cytochrome P450 reductase,0.982089789
P40937,Replication factor C subunit 5,0.982080872
P28062,Proteasome subunit beta type-8,0.982079038
P60604,Ubiquitin-conjugating enzyme E2 G2,0.981724186
Q14914,Prostaglandin reductase 1,0.981683786
Q08J23,tRNA (cytosine(34)-C(5))-methyltransferase,0.981670684
P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",0.981595746
P54136,"Arginyl-tRNA synthetase, cytoplasmic",0.981532395
Q9UI26,Importin-11,0.981367501
P46940,Ras GTPase-activating-like protein IQGAP1,0.981322915
Q13418,Integrin-linked protein kinase,0.981233743
Q92520,Protein FAM3C,0.981118766
Q04637,Eukaryotic translation initiation factor 4 gamma 1,0.980823555
Q9UHR4,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1,0.980770594
Q7L2H7,Eukaryotic translation initiation factor 3 subunit M,0.980737194
P61313,60S ribosomal protein L15,0.980714336
P35659,Protein DEK,0.980342029
Q6PJT7,Zinc finger CCCH domain-containing protein 14,0.979985343
P52565,Rho GDP-dissociation inhibitor 1,0.979914006
Q15019,Septin-2,0.979807
O75083,WD repeat-containing protein 1,0.979664326
O43143,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,0.97961134
P49590,"Probable histidyl-tRNA synthetase, mitochondrial",0.979355998
Q96T76,MMS19 nucleotide excision repair protein homolog,0.979318909
Q9UGI8,Testin,0.978959952
Q16181,Septin-7,0.97880948
P12956,X-ray repair cross-complementing protein 6,0.978558237
P50991,T-complex protein 1 subunit delta,0.978556345
Q9H9T3,Elongator complex protein 3,0.978460511
P43686,26S protease regulatory subunit 6B,0.978282168
P25788,Proteasome subunit alpha type-3,0.978228666
Q14166,Tubulin--tyrosine ligase-like protein 12,0.978085991
O00303,Eukaryotic translation initiation factor 3 subunit F,0.977975423
Q9Y4B6,Protein VPRBP,0.977939136
Q96T88,E3 ubiquitin-protein ligase UHRF1,0.977925483
P30040,Endoplasmic reticulum resident protein 29,0.977888407
Q01469,"Fatty acid-binding protein, epidermal",0.97768472
Q9NR45,Sialic acid synthase,0.97758539
Q9Y6E0,Serine/threonine-protein kinase 24,0.977076514
Q9BTT0,Acidic leucine-rich nuclear phosphoprotein 32 family member E,0.977051602
Q7Z478,ATP-dependent RNA helicase DHX29,0.976852655
P49773,Histidine triad nucleotide-binding protein 1,0.976846508
Q13813,"Spectrin alpha chain, brain",0.976846508
Q9UHB6,LIM domain and actin-binding protein 1,0.976712791
Q9NX08,COMM domain-containing protein 8,0.976620594
O75822,Eukaryotic translation initiation factor 3 subunit J,0.976471988
P62851,40S ribosomal protein S25,0.976427402
O00764,Pyridoxal kinase,0.976393932
O95352,Ubiquitin-like modifier-activating enzyme ATG7,0.976341717
Q08752,Peptidyl-prolyl cis-trans isomerase D,0.976284728
Q13200,26S proteasome non-ATPase regulatory subunit 2,0.976186639
Q08945,FACT complex subunit SSRP1,0.975946951
Q10567,AP-1 complex subunit beta-1,0.975907149
Q9UBB6,Neurochondrin,0.975859306
P78344,Eukaryotic translation initiation factor 4 gamma 2,0.975794285
Q96PK6,RNA-binding protein 14,0.975687279
Q5T4S7,E3 ubiquitin-protein ligase UBR4,0.975633776
Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5,0.975614942
P49588,"Alanyl-tRNA synthetase, cytoplasmic",0.975589191
Q9Y5Y2,Cytosolic Fe-S cluster assembly factor NUBP2,0.975583531
P43246,DNA mismatch repair protein Msh2,0.975498669
Q14247,Src substrate cortactin,0.975321676
P78527,DNA-dependent protein kinase catalytic subunit,0.975254706
P17931,Galectin-3,0.975238423
Q96DH6,RNA-binding protein Musashi homolog 2,0.975132144
Q15717,ELAV-like protein 1,0.975045245
Q96G03,Phosphoglucomutase-2,0.974908449
Q9NZ01,"Trans-2,3-enoyl-CoA reductase",0.974784923
P08133,Annexin A6,0.974679642
P18206,Vinculin,0.974670725
P13693,Translationally-controlled tumor protein,0.974608305
P07737,Profilin-1,0.97455427
Q9BXJ9,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",0.97454561
O75844,CAAX prenyl protease 1 homolog,0.974423537
Q9Y570,Protein phosphatase methylesterase 1,0.974405531
Q14980,Nuclear mitotic apparatus protein 1,0.974356673
Q99832,T-complex protein 1 subunit eta,0.974314004
P51659,Peroxisomal multifunctional enzyme type 2,0.974260536
O75794,Cell division cycle protein 123 homolog,0.974249121
Q16850,Lanosterol 14-alpha demethylase,0.974149532
P53396,ATP-citrate synthase,0.973988354
Q13616,Cullin-1,0.973983031
Q7KZF4,Staphylococcal nuclease domain-containing protein 1,0.973977715
P20645,Cation-dependent mannose-6-phosphate receptor,0.973866678
Q9UBQ5,Eukaryotic translation initiation factor 3 subunit K,0.973823596
P62829,60S ribosomal protein L23,0.973734424
O95563,Brain protein 44,0.97371321
P05455,Lupus La protein,0.973605774
P53621,Coatomer subunit alpha,0.973376631
P61254,60S ribosomal protein L26,0.973236664
Q13310,Polyadenylate-binding protein 4,0.973207034
Q9UL46,Proteasome activator complex subunit 2,0.973172644
P25787,Proteasome subunit alpha type-2,0.97296755
Q15436,Protein transport protein Sec23A,0.972824876
P22234,Multifunctional protein ADE2,0.972672572
O14737,Programmed cell death protein 5,0.972569288
Q96K76,Ubiquitin carboxyl-terminal hydrolase 47,0.972527197
O95433,Activator of 90 kDa heat shock protein ATPase homolog 1,0.972512775
Q06830,Peroxiredoxin-1,0.972494941
P51812,Ribosomal protein S6 kinase alpha-3,0.972414687
O15371,Eukaryotic translation initiation factor 3 subunit D,0.97239009
Q13630,GDP-L-fucose synthase,0.972334467
Q14919,Dr1-associated corepressor,0.972275633
P04406,Glyceraldehyde-3-phosphate dehydrogenase,0.972198607
P61923,Coatomer subunit zeta-1,0.972168517
O00541,Pescadillo homolog,0.972144489
P63244,Guanine nucleotide-binding protein subunit beta-2-like 1,0.971986664
Q03701,CCAAT/enhancer-binding protein zeta,0.971868869
Q92615,La-related protein 4B,0.971778836
P61604,"10 kDa heat shock protein, mitochondrial",0.971745901
Q9H267,Vacuolar protein sorting-associated protein 33B,0.971670385
O14979,Heterogeneous nuclear ribonucleoprotein D-like,0.971638895
Q07020,60S ribosomal protein L18,0.971620872
P55263,Adenosine kinase,0.971585392
Q15154,Pericentriolar material 1 protein,0.971414259
P35232,Prohibitin,0.971397455
Q9Y224,UPF0568 protein C14orf166,0.971104852
O43617,Trafficking protein particle complex subunit 3,0.970915802
Q9NVA1,Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog,0.9707027
Q8TDD1,ATP-dependent RNA helicase DDX54,0.970666926
P54727,UV excision repair protein RAD23 homolog B,0.970194454
Q9UNM6,26S proteasome non-ATPase regulatory subunit 13,0.970176483
O95347,Structural maintenance of chromosomes protein 2,0.970060489
Q9UI10,Translation initiation factor eIF-2B subunit delta,0.970037159
Q14145,Kelch-like ECH-associated protein 1,0.96989266
Q14839,Chromodomain-helicase-DNA-binding protein 4,0.969822651
P63220,40S ribosomal protein S21,0.969775212
P13639,Elongation factor 2,0.969650372
Q7L5N1,COP9 signalosome complex subunit 6,0.969463112
O14980,Exportin-1,0.9692577
O43390,Heterogeneous nuclear ribonucleoprotein R,0.9692491
P22314,Ubiquitin-like modifier-activating enzyme 1,0.969174117
Q86TC9,Myopalladin,0.96892345
P14174,Macrophage migration inhibitory factor,0.968835711
Q15427,Splicing factor 3B subunit 4,0.968766184
P61086,Ubiquitin-conjugating enzyme E2 K,0.968758657
P26368,Splicing factor U2AF 65 kDa subunit,0.968731906
P62316,Small nuclear ribonucleoprotein Sm D2,0.968633817
P59998,Actin-related protein 2/3 complex subunit 4,0.968482977
P58107,Epiplakin,0.968443456
P49720,Proteasome subunit beta type-3,0.968439497
Q96GQ7,Probable ATP-dependent RNA helicase DDX27,0.967866943
P18669,Phosphoglycerate mutase 1,0.967815376
Q14974,Importin subunit beta-1,0.96778245
Q9NTK5,Obg-like ATPase 1,0.967742103
Q9UKK9,ADP-sugar pyrophosphatase,0.967623644
P21399,Cytoplasmic aconitate hydratase,0.967599428
P06576,"ATP synthase subunit beta, mitochondrial",0.967442624
P10606,"Cytochrome c oxidase subunit 5B, mitochondrial",0.967319696
Q7L576,Cytoplasmic FMR1-interacting protein 1,0.96700259
P11233,Ras-related protein Ral-A,0.96653347
P50914,60S ribosomal protein L14,0.966488099
Q7Z6Z7,E3 ubiquitin-protein ligase HUWE1,0.966413448
P33992,DNA replication licensing factor MCM5,0.966107516
Q9NY93,Probable ATP-dependent RNA helicase DDX56,0.966106077
P51665,26S proteasome non-ATPase regulatory subunit 7,0.965688468
P50570,Dynamin-2,0.965664408
P22307,Non-specific lipid-transfer protein,0.965606737
P35579,Myosin-9,0.965601988
Q00610,Clathrin heavy chain 1,0.965533583
Q9H6R4,Nucleolar protein 6,0.965432562
Q96CT7,Coiled-coil domain-containing protein 124,0.965408733
P13797,Plastin-3,0.965334925
Q13523,Serine/threonine-protein kinase PRP4 homolog,0.965289888
Q9NVE7,Pantothenate kinase 4,0.965237987
Q52LJ0,Protein FAM98B,0.965090637
Q14978,Nucleolar and coiled-body phosphoprotein 1,0.96506241
P62258,14-3-3 protein epsilon,0.9650624
Q53H96,Pyrroline-5-carboxylate reductase 3,0.964986705
P16150,Leukosialin,0.964975582
Q96DB5,Regulator of microtubule dynamics protein 1,0.964861485
P37802,Transgelin-2,0.964852948
Q7Z4Q2,HEAT repeat-containing protein 3,0.964844031
Q86W56,Poly(ADP-ribose) glycohydrolase,0.96478063
O14818,Proteasome subunit alpha type-7,0.964243696
P00558,Phosphoglycerate kinase 1,0.964166328
P39019,40S ribosomal protein S19,0.964164435
Q9BWH6,RNA polymerase II-associated protein 1,0.964077618
P21796,Voltage-dependent anion-selective channel protein 1,0.964014736
Q9BY77,Polymerase delta-interacting protein 3,0.963971764
P14618,Pyruvate kinase isozymes M1/M2,0.963731284
Q99733,Nucleosome assembly protein 1-like 4,0.9636857
Q16881,"Thioredoxin reductase 1, cytoplasmic",0.963613465
O95487,Protein transport protein Sec24B,0.963506459
Q9NV31,U3 small nucleolar ribonucleoprotein protein IMP3,0.9633662
P48681,Nestin,0.963319199
O75558,Syntaxin-11,0.963263426
P51114,Fragile X mental retardation syndrome-related protein 1,0.9632456
Q5SRE5,Nucleoporin NUP188 homolog,0.96322111
O94966,Ubiquitin carboxyl-terminal hydrolase 19,0.962856795
Q9BUF5,Tubulin beta-6 chain,0.962739584
P29401,Transketolase,0.962739584
P52948,Nuclear pore complex protein Nup98-Nup96,0.962694999
P07954,"Fumarate hydratase, mitochondrial",0.962581991
P25705,"ATP synthase subunit alpha, mitochondrial",0.962377334
P00367,"Glutamate dehydrogenase 1, mitochondrial",0.962311561
P35573,Glycogen debranching enzyme,0.962084868
Q13409,Cytoplasmic dynein 1 intermediate chain 2,0.962008378
Q9BV38,WD repeat-containing protein 18,0.961624428
P21980,Protein-glutamine gamma-glutamyltransferase 2,0.961560652
P53618,Coatomer subunit beta,0.961501152
Q8NBJ5,Procollagen galactosyltransferase 1,0.961366344
P63104,14-3-3 protein zeta/delta,0.961170167
P10809,"60 kDa heat shock protein, mitochondrial",0.961157145
P34932,Heat shock 70 kDa protein 4,0.961107747
Q9UKN8,General transcription factor 3C polypeptide 4,0.961037475
Q01813,6-phosphofructokinase type C,0.96082038
Q8TEX9,Importin-4,0.960486503
P55769,NHP2-like protein 1,0.96047025
P62937,Peptidyl-prolyl cis-trans isomerase A,0.960299687
P26639,"Threonyl-tRNA synthetase, cytoplasmic",0.960229407
P20618,Proteasome subunit beta type-1,0.960134634
P85037,Forkhead box protein K1,0.959809971
P35244,Replication protein A 14 kDa subunit,0.959794367
O75694,Nuclear pore complex protein Nup155,0.959692159
Q15382,GTP-binding protein Rheb,0.959458075
P38606,V-type proton ATPase catalytic subunit A,0.959279184
Q12907,Vesicular integral-membrane protein VIP36,0.959249682
Q15149,Plectin,0.959212338
Q9UPT5,Exocyst complex component 7,0.958872728
O94979,Protein transport protein Sec31A,0.958468272
O75494,Serine/arginine-rich splicing factor 10,0.958367607
Q9BZE4,Nucleolar GTP-binding protein 1,0.958349718
P17987,T-complex protein 1 subunit alpha,0.958249199
P33993,DNA replication licensing factor MCM7,0.958236426
P04179,"Superoxide dismutase [Mn], mitochondrial",0.958216713
Q8WXX5,DnaJ homolog subfamily C member 9,0.958138337
P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",0.958094962
P52597,Heterogeneous nuclear ribonucleoprotein F,0.958087433
P23381,"Tryptophanyl-tRNA synthetase, cytoplasmic",0.957915409
O96019,Actin-like protein 6A,0.957888657
O14617,AP-3 complex subunit delta-1,0.957772734
Q53H12,"Acylglycerol kinase, mitochondrial",0.957603309
Q15126,Phosphomevalonate kinase,0.957491824
P08754,Guanine nucleotide-binding protein G(k) subunit alpha,0.957422433
P36507,Dual specificity mitogen-activated protein kinase kinase 2,0.957407131
O00571,ATP-dependent RNA helicase DDX3X,0.957384784
P46776,60S ribosomal protein L27a,0.957364282
P49189,4-trimethylaminobutyraldehyde dehydrogenase,0.957298493
P01834,Ig kappa chain C region,0.956961274
Q02543,60S ribosomal protein L18a,0.956961274
P05198,Eukaryotic translation initiation factor 2 subunit 1,0.956907771
Q14126,Desmoglein-2,0.956744424
P51116,Fragile X mental retardation syndrome-related protein 2,0.956702677
P57088,Transmembrane protein 33,0.956582967
P68366,Tubulin alpha-4A chain,0.95656892
P46777,60S ribosomal protein L5,0.956551085
Q13057,Bifunctional coenzyme A synthase,0.956470831
P12004,Proliferating cell nuclear antigen,0.956408411
P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",0.956408411
decoy,DEP domain-containing protein 1A,0.955963197
Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5,0.95593055
Q8N163,Protein KIAA1967,0.955522408
O14776,Transcription elongation regulator 1,0.955396102
P24666,Low molecular weight phosphotyrosine protein phosphatase,0.955160011
